"","author_name","lead_or_other","n","Total"
"705","Bailey SJ","other",1,1
"706","Bakenecker P","other",1,1
"707","Baker LL","other",1,1
"708","Baker MR","other",1,1
"709","Baldissera F","lead",1,1
"710","Baldissera FG","lead",1,1
"711","Ball D","other",1,1
"712","Balshaw TG","other",1,1
"713","Bampouras TM","other",1,4
"714","Banfi JC","other",1,1
"715","Bankers S","other",1,1
"716","Bankole C","other",1,1
"717","Banzet S","other",1,1
"718","Barachon N","other",1,1
"719","Baranauskiene N","other",1,1
"720","Barber LA","lead",1,3
"721","Barbero M","other",1,1
"722","Barbi C","other",1,1
"723","Barral J","other",1,1
"724","Barrett RS","other",1,1
"725","Barry AJ","lead",1,1
"726","Barss TS","lead",1,2
"727","Barss TS","other",1,2
"728","Barstow TJ","other",1,1
"729","Bartlett MF","other",1,1
"730","Barwood M","other",1,1
"731","Bassa E","other",1,1
"732","Basu N","other",1,1
"733","Bates NA","other",1,1
"734","Bath PM","other",1,1
"735","Baudry S","lead",1,6
"736","Baumeister J","other",1,1
"737","Baxter J","other",1,1
"738","Bayle N","other",1,1
"739","Bayley MT","other",1,1
"740","Beagley KW","other",1,1
"741","Bearne LM","lead",1,1
"742","Bebenek M","other",1,1
"743","Bech KT","lead",1,1
"744","Bech SR","lead",1,1
"745","Beck TW","other",1,1
"746","Becker R","other",1,3
"747","Bednar MS","other",1,1
"748","Beelen A","lead",1,2
"749","Beelen A","other",1,2
"750","Behrman A","other",1,1
"751","Behrman AL","other",1,1
"752","Bélanger M","other",1,1
"753","Bell GJ","other",1,1
"754","Belleville J","other",1,1
"755","Bellomo RG","other",1,1
"756","Beltman M","other",1,1
"757","Beltman MJ","other",1,1
"758","Ben Hassen H","other",1,1
"759","Bendahan D","other",1,1
"760","Benjaminse A","other",1,1
"761","Benoit DL","other",1,1
"762","Beretta-Piccoli M","other",1,1
"763","Bergstrom HC","other",1,1
"764","Berrut G","other",1,1
"765","Bertacchini L","other",1,1
"766","Berth A","other",1,3
"767","Bertucci DR","other",1,1
"768","Bertuzzi R","lead",1,12
"769","Besson T","lead",1,3
"770","Beuster N","other",1,1
"771","Beyer I","other",1,1
"772","Beynnon B","other",1,1
"773","Bhadane M","other",1,1
"774","Biancarelli B","other",1,1
"775","Bieuzen F","lead",1,1
"776","Bigham H","other",1,1
"777","Billaut F","lead",1,2
"778","Billaut F","other",1,2
"779","Billet C","other",1,1
"780","Billot M","other",1,1
"781","Bilzon JLj","other",1,1
"782","Binder-Macleod SA","lead",1,5
"783","Binder I","other",1,1
"784","Birat A","lead",1,1
"785","Birbaumer N","other",1,1
"786","Bird SP","other",1,1
"787","Birmingham TB","other",1,1
"788","Biro A","lead",1,1
"789","Biscarini A","other",1,1
"790","Bisconti AV","other",1,1
"791","Bishop M","other",1,1
"792","Bizzini M","other",1,1
"793","Bjørgen M","other",1,1
"794","Bjørnsen T","other",1,1
"795","Black CD","other",1,3
"796","Blaženovic I","other",1,1
"797","Bledsoe AD","other",1,1
"798","Blefari ML","other",1,1
"799","Bliddal H","other",1,1
"800","Blouin JS","other",1,1
"801","Blum Y","other",1,1
"802","Boentert M","other",1,1
"803","Boerio D","lead",1,1
"804","Boërio D","other",1,1
"805","Bogacheva IN","other",1,1
"806","Bøgseth T","other",1,1
"807","Boirie Y","other",1,1
"808","Boisson RC","other",1,1
"809","Bonitch-Góngora J","other",1,1
"810","Bontemps B","lead",1,5
"811","Boon AJ","lead",1,1
"812","Borrione P","other",1,1
"813","Bortolan L","other",1,1
"814","Borzuola R","lead",1,1
"815","Bosch JA","other",1,1
"816","Bottinelli R","other",1,1
"817","Bottle E","lead",1,1
"818","Boucher JA","other",1,1
"819","Boudinet H","other",1,1
"820","Bouffard J","lead",1,1
"821","Boullosa D","other",1,1
"822","Boullosa DA","other",1,1
"823","Bourcet MR","other",1,1
"824","Bourdillon N","other",1,1
"825","Boutte C","other",1,1
"826","Bouwmeester NM","other",1,1
"827","Bouzid MA","other",1,1
"828","Bova AM","other",1,1
"829","Bowden JL","lead",1,1
"830","Bowtell JL","other",1,1
"831","Boyas S","lead",1,1
"832","Boychuk KE","lead",1,1
"833","Boyd K","other",1,1
"834","Brændvik SM","lead",1,1
"835","Brandenberger KJ","lead",1,1
"836","Brandstater ME","other",1,1
"837","Brasy J","other",1,1
"838","Bravi M","other",1,1
"839","Bravo-Esteban E","lead",1,1
"840","Breit M","other",1,1
"841","Bremner CB","lead",1,1
"842","Brerro-Saby C","other",1,1
"843","Brietzke C","other",1,1
"844","Brix T","other",1,1
"845","Broadbent S","other",1,1
"846","Brochard L","other",1,1
"847","Brocherie F","other",1,1
"848","Brooks J","other",1,1
"849","Broome C","other",1,1
"850","Brosseau O","other",1,1
"851","Brown CD","other",1,1
"852","Brown N","lead",1,1
"853","Brown RE","lead",1,2
"854","Brown RE","other",1,2
"855","Brown SR","other",1,1
"856","Brownstein CG","other",1,1
"857","Broxterman RM","lead",1,3
"858","Bruce CD","lead",1,1
"859","Bruce SH","other",1,1
"860","Brugniaux J","other",1,1
"861","Brüls O","other",1,1
"862","Brundin L","other",1,1
"863","Bruseghini P","lead",1,1
"864","Brustio PR","other",1,1
"865","Bruton JD","other",1,1
"866","Bryant DM","other",1,1
"867","Bryden AM","other",1,1
"868","Bubeck D","other",1,1
"869","Bucas M","other",1,1
"870","Buchanan TS","other",1,1
"871","Buchheit M","other",1,1
"872","Buckle NCM","other",1,1
"873","Buckner SL","other",1,1
"874","Bucková K","other",1,1
"875","Buht N","other",1,1
"876","Buoite Stella A","other",1,1
"877","Burdon CA","lead",1,1
"878","Burgomaster KA","other",1,1
"879","Burke JR","other",1,1
"880","Burniston JG","other",1,1
"881","Burtscher M","other",1,1
"882","Butler HL","lead",1,1
"883","Butt JC","other",1,1
"884","Button D","other",1,1
"885","Button DC","lead",1,7
"886","Buyckx M","other",1,1
"887","Buys MJ","other",1,1
"888","Byrne JM","other",1,1
"889","Cable NT","other",1,1
"890","Cahill F","lead",1,2
"891","Cahill F","other",1,2
"892","Cairns SP","other",1,1
"893","Caldas VM","lead",1,1
"894","Callaghan MJ","lead",1,1
"895","Cameron J","other",1,1
"896","Campbell EL","lead",1,1
"897","Campbell JA","other",1,1
"898","Campbell KL","other",1,1
"899","Campi S","other",1,1
"900","Canali E","other",1,1
"901","Candau R","other",1,1
"902","Candow DG","other",1,1
"903","Cannavan D","lead",1,1
"904","Cannon J","lead",1,9
"905","Cao LJ","other",1,1
"906","Capelli C","other",1,1
"907","Capodaglio P","other",1,1
"908","Caporaso F","other",1,1
"909","Cappellini G","other",1,1
"910","Carabello RJ","other",1,1
"911","Carballeira E","other",1,1
"912","Cardinale M","other",1,1
"913","Carducci F","other",1,1
"914","Carlomagno D","other",1,1
"915","Carlucci F","other",1,1
"916","Carroll M","other",1,1
"917","Carroll TJ","lead",1,5
"918","Casamento-Moran A","other",1,1
"919","Casartelli N","other",1,1
"920","Casartelli NC","lead",1,2
"921","Casartelli NC","other",1,2
"922","Caserotti P","other",1,1
"923","Castelli F","other",1,1
"924","Castle PC","other",1,1
"925","Cathers I","lead",1,1
"926","Cattaneo L","lead",1,1
"927","Cavedon V","other",1,1
"928","Cavuoto LA","other",1,1
"929","Cè E","lead",1,1
"930","Celadon N","lead",1,1
"931","Cerón J","other",1,1
"932","Chacon-Mikahil MPT","other",1,1
"933","Chalabi H","other",1,1
"934","Chalchat E","lead",1,5
"935","Chan HL","other",1,1
"936","Chan KM","lead",1,1
"937","Chandra S","lead",1,3
"938","Chang FY","other",1,1
"939","Chang SH","lead",1,1
"940","Chang YJ","lead",1,5
"941","Chapman ND","lead",1,1
"942","Chapuis S","other",1,1
"943","Charbonnier F","other",1,1
"944","Chartogne M","lead",1,1
"945","Charuphongsa C","other",1,1
"946","Chater-Diehl EJ","other",1,1
"947","Chatonnet A","other",1,1
"948","Chauvet L","other",1,1
"949","Chawawisuttikool J","other",1,1
"950","Chen J","other",1,1
"951","Chen R","other",1,1
"952","Chen SM","other",1,1
"953","Chen YC","other",1,1
"954","Cheng AJ","other",1,4
"955","Chennaoui M","other",1,1
"956","Cheung S","other",1,1
"957","Chevessier F","other",1,1
"958","Chi SC","other",1,1
"959","Chia E","lead",1,1
"960","Chislett M","other",1,1
"961","Chmielewski TL","lead",1,2
"962","Chmielewski TL","other",1,2
"963","Chorin F","other",1,1
"964","Chou LW","other",1,1
"965","Chouza-Insua M","other",1,1
"966","Chow JW","other",1,1
"967","Chrismas BC","lead",1,1
"968","Christensen MS","lead",1,1
"969","Christou EA","other",1,1
"970","Chtourou H","other",1,1
"971","Chuang LL","other",1,1
"972","Chuang YF","other",1,1
"973","Chung LH","other",1,1
"974","Cina J","other",1,1
"975","Clark A","other",1,1
"976","Clark BC","lead",1,3
"977","Clark DJ","lead",1,1
"978","Clark LA","lead",1,2
"979","Clark LA","other",1,2
"980","Clarke A","other",1,1
"981","Clarke N","other",1,1
"982","Clémençon M","other",1,1
"983","Clijsen R","other",1,1
"984","Cochrane-Snyman KC","other",1,1
"985","Cochrane DJ","other",1,1
"986","Cochrane KC","other",1,1
"987","Coleman DR","other",1,1
"988","Collier N","other",1,1
"989","Collier NB","lead",1,1
"990","Collins BW","lead",1,1
"991","Collison JA","lead",1,1
"992","Colomer-Poveda D","other",1,1
"993","Colonnese C","other",1,1
"994","Colquhoun RJ","other",1,1
"995","Cometti C","lead",1,1
"996","Compton CT","other",1,1
"997","Conde Alonso S","other",1,1
"998","Connan Y","other",1,1
"999","Conson M","other",1,1
"1000","Contemori S","lead",1,1
"1001","Contessa P","lead",1,2
"1002","Contessa P","other",1,2
"1003","Cooper MA","lead",1,2
"1004","Cooper MA","other",1,2
"1005","Cooper RG","other",1,1
"1006","Cooray G","other",1,1
"1007","Copithorne D","other",1,1
"1008","Coratella G","lead",1,2
"1009","Coratella G","other",1,2
"1010","Corden S","other",1,1
"1011","Cormack S","other",1,1
"1012","Cormack SJ","other",1,1
"1013","Cormier ML","other",1,1
"1014","Cornett KMD","other",1,1
"1015","Cornwell A","other",1,1
"1016","Côté JN","other",1,1
"1017","Cotton PD","other",1,1
"1018","Couturier C","other",1,1
"1019","Craig JC","other",1,1
"1020","Cramer MN","other",1,1
"1021","Cramp MC","other",1,1
"1022","Crivelli G","lead",1,1
"1023","Croisier JL","other",1,1
"1024","Cross R","lead",1,6
"1025","Crowley-McHattan ZJ","other",1,1
"1026","Cudeiro J","other",1,1
"1027","Cumming KT","other",1,1
"1028","Cureton KJ","lead",1,1
"1029","Curnew RS","other",1,1
"1030","Cursiol JA","other",1,1
"1031","Cuypers K","other",1,1
"1032","Cveticanin B","other",1,1
"1033","D'Amico JM","lead",1,1
"1034","Da-Silva KJ","other",1,1
"1035","da Rocha AL","other",1,1
"1036","DA Silva F","lead",1,1
"1037","Da Silva KJ","lead",1,1
"1038","Da Silva LC","other",1,1
"1039","Daigeler A","lead",1,1
"1040","Dalgas U","other",1,1
"1041","Daly RM","lead",1,1
"1042","Daniele RM","lead",1,1
"1043","Danielson J","other",1,1
"1044","Daniuseviciute L","other",1,1
"1045","Danneskiold-Samsøe B","other",1,1
"1046","Davi S","other",1,1
"1047","Davis-Wilson HC","other",1,1
"1048","Davis JM","other",1,1
"1049","Davis MP","other",1,1
"1050","Davranche K","other",1,1
"1051","Dawes H","other",1,1
"1052","Day SJ","other",1,1
"1053","Dayton MR","other",1,1
"1054","De-Lap BS","other",1,1
"1055","De-Mello APA","other",1,1
"1056","de Andrade VL","other",1,1
"1057","de Arruda TB","lead",1,2
"1058","de Arruda TB","other",1,2
"1059","De Ayala RJ","other",1,1
"1060","De Baets MH","other",1,1
"1061","de Boer MD","lead",1,1
"1062","De Coulon G","other",1,1
"1063","de Faria FO","other",1,1
"1064","de Haan A","lead",1,19
"1065","de Jong BA","other",1,1
"1066","de Korte A","other",1,1
"1067","de Lima FF","other",1,1
"1068","De Luca CJ","other",1,1
"1069","De Lucas RD","other",1,1
"1070","de Mattos ECT","other",1,1
"1071","de Melo CM","other",1,1
"1072","De Monte G","other",1,1
"1073","de Poli RAB","lead",1,2
"1074","de Poli RAB","other",1,2
"1075","De Ruiter CJ","other",1,1
"1076","de Russo TL","other",1,1
"1077","de Visser M","other",1,1
"1078","Debenham MIB","other",1,1
"1079","Decherchi P","other",1,1
"1080","Decker D","other",1,1
"1081","Del Balso C","lead",1,2
"1082","Del Balso C","other",1,2
"1083","Del Coso J","lead",1,1
"1084","Delgadillo JD","lead",1,1
"1085","DelloRusso C","other",1,1
"1086","Delmas S","lead",1,1
"1087","Demoule A","other",1,1
"1088","Denadai BS","other",1,1
"1089","Denaro V","other",1,1
"1090","Denis R","other",1,1
"1091","Dennis DA","lead",1,1
"1092","Denoël V","other",1,1
"1093","Dent J","other",1,1
"1094","Derosiere G","other",1,1
"1095","Desbrosses K","lead",1,2
"1096","Desbrosses K","other",1,2
"1097","Deschamps T","other",1,1
"1098","Deshon LE","other",1,1
"1099","Desjardins P","other",1,1
"1100","Dewald JPA","other",1,1
"1101","Di Pino G","other",1,1
"1102","Diaz Balzani L","other",1,1
"1103","DiCaprio PA","other",1,1
"1104","Dickson J","other",1,1
"1105","Dimitriou L","other",1,1
"1106","Diong J","lead",1,2
"1107","Diong J","other",1,2
"1108","Diss CE","other",1,1
"1109","Dittrich N","lead",1,1
"1110","Dix GU","other",1,1
"1111","Dixon J","other",1,1
"1112","Djajadikarta ZJ","lead",1,1
"1113","do Nascimento BG","lead",1,1
"1114","Dodd D","other",1,1
"1115","Dodic T","other",1,1
"1116","Dodu A","other",1,1
"1117","Doestzada M","other",1,1
"1118","Doguet V","other",1,4
"1119","Dolinsky M","other",1,1
"1120","Doma K","other",1,1
"1121","Dominici N","other",1,1
"1122","Dong XN","other",1,1
"1123","Dongés SC","other",1,1
"1124","Donghi F","lead",1,1
"1125","Dorel S","other",1,1
"1126","Doria C","other",1,1
"1127","Dos-Santos JW","other",1,1
"1128","Došen S","other",1,1
"1129","Doutreleau S","other",1,1
"1130","Dowson MN","other",1,1
"1131","Doyle J","other",1,1
"1132","Doyle JA","other",1,1
"1133","Drechsler WI","lead",1,1
"1134","Drinkwater EJ","other",1,4
"1135","Drogou C","other",1,1
"1136","Drover JM","lead",1,1
"1137","Drust B","other",1,1
"1138","Dubau Q","other",1,1
"1139","Duclay J","other",1,1
"1140","Ducrocq GP","other",1,3
"1141","Duddy M","other",1,1
"1142","Duff WRD","lead",1,1
"1143","Duffield R","lead",1,7
"1144","Duhamel G","other",1,1
"1145","Dupont AC","other",1,1
"1146","Dupui P","other",1,1
"1147","Dupuy A","other",1,1
"1148","Duran I","other",1,1
"1149","Duus B","other",1,1
"1150","Easthope CS","other",1,1
"1151","Eckert DJ","other",1,1
"1152","Edge KT","other",1,1
"1153","Edwards BA","other",1,1
"1154","Edwards BJ","lead",1,2
"1155","Edwards BJ","other",1,2
"1156","Edwards WB","other",1,1
"1157","Ehrstrom S","other",1,1
"1158","Ehrström S","lead",1,1
"1159","Eibye K","other",1,1
"1160","Eichelberger TD","lead",1,1
"1161","Eischer C","other",1,1
"1162","Eisennagel A","other",1,1
"1163","Eisennagel J","other",1,1
"1164","Ekblom MM","lead",1,1
"1165","Eklund D","lead",1,2
"1166","Eklund D","other",1,2
"1167","ElAttrache NS","other",1,1
"1168","Elboim-Gabyzon M","lead",1,1
"1169","Elich P","other",1,1
"1170","Ellis KA","other",1,1
"1171","Ellison PM","lead",1,1
"1172","Elvrum AK","other",1,1
"1173","Elzinga MJ","other",1,1
"1174","Enomoto M","other",1,1
"1175","Erb MD","other",1,1
"1176","Erskine RM","lead",1,1
"1177","Espeit L","lead",1,2
"1178","Espeit L","other",1,2
"1179","Esposito F","other",1,1
"1180","Esposti R","other",1,1
"1181","Estephan EP","other",1,1
"1182","Estevez D","other",1,1
"1183","Estevez E","other",1,1
"1184","Evans CD","other",1,1
"1185","Even B","other",1,1
"1186","Eventide C","lead",1,1
"1187","Everding VQ","other",1,1
"1188","Fabre JB","lead",1,1
"1189","Fabre MS","other",1,1
"1190","Faghri PD","lead",1,2
"1191","Faghri PD","other",1,2
"1192","Falk B","other",1,1
"1193","Falla D","other",1,1
"1194","Fanchini M","other",1,1
"1195","Fansa H","other",1,1
"1196","Farina D","other",1,1
"1197","Fariñas J","other",1,1
"1198","Farquhar SJ","lead",1,1
"1199","Farris DJ","other",1,1
"1200","Favre-Juvin A","other",1,1
"1201","Feasson L","other",1,1
"1202","Feldman MR","other",1,1
"1203","Felippe LC","lead",1,5
"1204","Felsenberg D","other",1,1
"1205","Felson DT","other",1,1
"1206","Feng C","other",1,1
"1207","Fenton J","other",1,1
"1208","Feriche B","other",1,1
"1209","Fernández-Del-Olmo M","other",1,1
"1210","FernáNdez Del Olmo M","other",1,1
"1211","Ferraresi I","other",1,1
"1212","Ferrari-Malik A","other",1,1
"1213","Ferreira GA","lead",1,4
"1214","Ferrell S","other",1,1
"1215","Ferri A","lead",1,2
"1216","Ferri A","other",1,2
"1217","Ferrigno G","other",1,1
"1218","Ferry A","lead",1,1
"1219","Feys P","other",1,1
"1220","Fice JB","lead",1,1
"1221","Fielding RA","other",1,1
"1222","Fimland MS","lead",1,1
"1223","Finn H","other",1,1
"1224","Finn HT","lead",1,3
"1225","Finni T","other",1,1
"1226","Fiorenza M","lead",1,1
"1227","Fischer DC","other",1,1
"1228","Fitzgerald J","other",1,1
"1229","Fitzgerald LF","lead",1,1
"1230","Fitzpatrick SC","other",1,1
"1231","Flatman MM","other",1,1
"1232","Flaxman TE","lead",1,1
"1233","Fletcher JR","other",1,1
"1234","Floreani M","other",1,1
"1235","Fly AD","other",1,1
"1236","Flynn S","lead",1,1
"1237","Foley KP","other",1,1
"1238","Folland J","other",1,1
"1239","Fonte C","other",1,1
"1240","Foo Y","other",1,1
"1241","Fook-Chong S","other",1,1
"1242","Forand DR","other",1,1
"1243","Forthomme B","other",1,1
"1244","Forward T","other",1,1
"1245","Fossati C","other",1,1
"1246","Fouré A","lead",1,1
"1247","Fowler N","other",1,1
"1248","France CR","other",1,1
"1249","Francisco GE","other",1,1
"1250","Franco-Alvarenga PE","other",1,1
"1251","Frazer AK","lead",1,1
"1252","Fregosi RF","other",1,1
"1253","Freiberger E","other",1,1
"1254","Freyler K","other",1,1
"1255","Frostell A","lead",1,1
"1256","Fu SC","other",1,1
"1257","Fuhrmann J","other",1,1
"1258","Fujimaru I","other",1,1
"1259","Fukashiro S","other",1,1
"1260","Fulton TJ","other",1,1
"1261","Gaber KM","lead",1,1
"1262","Gabriel DA","other",1,1
"1263","Gaemelke T","lead",1,1
"1264","Gage M","lead",1,2
"1265","Gage M","other",1,2
"1266","Gaillien B","other",1,1
"1267","Gajanand T","lead",1,1
"1268","Galassi G","lead",1,1
"1269","Gamerro G","other",1,1
"1270","Gandevia S","lead",1,1
"1271","Gandhi J","lead",1,1
"1272","Gao F","lead",1,1
"1273","Gao Y","other",1,1
"1274","Gaoua N","other",1,1
"1275","Gapeyeva H","lead",1,3
"1276","García-Ramos A","other",1,1
"1277","Garcia-Vicencio S","other",1,4
"1278","Garcia JM","other",1,1
"1279","Garcia Vicencio S","other",1,1
"1280","Gardiner PF","other",1,1
"1281","Garmirian LRP","lead",1,1
"1282","Garnier Y","other",1,1
"1283","Garnier YM","other",1,3
"1284","Garrandes F","lead",1,1
"1285","Gassert R","other",1,1
"1286","Gauche E","lead",1,1
"1287","Gaudet S","lead",1,1
"1288","Gauvin M","other",1,1
"1289","Gavin JP","lead",1,1
"1290","Geiger M","lead",1,1
"1291","Georgescu VP","other",1,1
"1292","Gerasimenko YP","lead",1,1
"1293","Gergelé L","other",1,1
"1294","Gerrits K","lead",1,2
"1295","Gerrits K","other",1,2
"1296","Gerrits KH","lead",1,4
"1297","Geva D","other",1,1
"1298","Geyssant A","other",1,1
"1299","Ghasemi M","other",1,1
"1300","Ghassemi M","lead",1,1
"1301","Ghesmaty Sangachin M","other",1,1
"1302","Giacomoni M","other",1,1
"1303","Giandolini M","other",1,3
"1304","Gianoudis J","other",1,1
"1305","Gibala MJ","other",1,1
"1306","Gibbs CP","other",1,1
"1307","Gibson W","other",1,1
"1308","Giesbrecht GG","other",1,1
"1309","Giffin JR","other",1,1
"1310","Gilbert G","other",1,1
"1311","Gillen ZM","lead",1,1
"1312","Gillett JG","other",1,1
"1313","Gilmore KJ","lead",1,3
"1314","Giovanelli N","lead",1,1
"1315","Giroux C","lead",1,1
"1316","Gitler A","other",1,1
"1317","Giustiniani M","other",1,1
"1318","Gjellesvik TI","other",1,1
"1319","Glatthorn JF","other",1,1
"1320","Gnat R","lead",1,1
"1321","Gokeler A","lead",1,3
"1322","Gollhofer A","other",1,1
"1323","Gómez-Soriano J","other",1,1
"1324","Gomez N","other",1,1
"1325","Gonglach AR","other",1,1
"1326","González-Hernández JM","lead",1,1
"1327","Gonzalez JT","other",1,1
"1328","Gonzalez M","other",1,1
"1329","Goodall S","lead",1,9
"1330","Gordon RJFH","lead",1,1
"1331","Gorman RB","other",1,1
"1332","Goudsmit JF","other",1,1
"1333","Graça CR","other",1,1
"1334","Gracies JM","other",1,1
"1335","Granacher U","other",1,1
"1336","Granata KP","other",1,1
"1337","Gransberg L","other",1,1
"1338","Grassi B","other",1,1
"1339","Gravel C","other",1,1
"1340","Graven-Nielsen T","lead",1,1
"1341","Greco CC","other",1,1
"1342","Green DJ","lead",1,1
"1343","Greenway MJ","other",1,1
"1344","Gregory C","other",1,1
"1345","Gregory CM","other",1,1
"1346","Grelot L","other",1,1
"1347","Grélot L","other",1,1
"1348","Gremion G","other",1,1
"1349","Grenier JG","lead",1,1
"1350","Grenier S","other",1,1
"1351","Grey MJ","other",1,1
"1352","Gribble P","other",1,1
"1353","Gribble PA","other",1,1
"1354","Griffin L","lead",1,3
"1355","Grindstaff TL","lead",1,2
"1356","Grindstaff TL","other",1,2
"1357","Grooms DR","other",1,1
"1358","Gross R","other",1,1
"1359","Grosset JF","lead",1,1
"1360","Grossi D","other",1,1
"1361","Grossoeuvre C","other",1,1
"1362","Grusky AR","other",1,1
"1363","Gryson C","other",1,1
"1364","Gualano B","other",1,1
"1365","Gueldich H","lead",1,1
"1366","Guérin O","other",1,1
"1367","Guerin P","other",1,1
"1368","Guette M","lead",1,3
"1369","Guglielmo LGA","other",1,1
"1370","Guimarães AT","other",1,1
"1371","Guimares A","other",1,1
"1372","Guiraud D","other",1,1
"1373","Guissard N","other",1,1
"1374","Gunnarsson TP","other",1,1
"1375","Gür H","lead",1,1
"1376","Gutsch SB","other",1,1
"1377","Haakana P","other",1,1
"1378","Haas B","other",1,1
"1379","Hadj-Said W","other",1,1
"1380","Haeufle DFB","other",1,1
"1381","Häkkinen A","other",1,1
"1382","Hakkinen K","other",1,1
"1383","Hald M","other",1,1
"1384","Hali K","lead",1,1
"1385","Halická Z","lead",1,1
"1386","Halley S","other",1,1
"1387","Halperin I","lead",1,1
"1388","Hamilton AF","lead",1,1
"1389","Hammond KG","lead",1,1
"1390","Hamzah SH","other",1,1
